"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 15:42:31 GMT 2024","Sat Nov 23 15:43:25 GMT 2024","53719","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Nov 23 15:45:11 GMT 2024","Sat Nov 23 15:45:11 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Nov 23 15:44:55 GMT 2024","Sat Nov 23 15:45:10 GMT 2024","15895","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Nov 23 15:43:39 GMT 2024","Sat Nov 23 15:44:41 GMT 2024","62191","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create Build Configuration for created project",""
"passed","Sat Nov 23 15:44:41 GMT 2024","Sat Nov 23 15:44:54 GMT 2024","12820","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfigurationWithoutName","User should not be able to create build configuration without name",""
