"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 15:31:55 GMT 2024","Sat Nov 23 15:32:57 GMT 2024","62296","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create Build Configuration for created project",""
"passed","Sat Nov 23 15:32:57 GMT 2024","Sat Nov 23 15:33:09 GMT 2024","11736","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfigurationWithoutName","User should not be able to create build configuration without name",""
"passed","Sat Nov 23 15:33:24 GMT 2024","Sat Nov 23 15:33:24 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Nov 23 15:33:09 GMT 2024","Sat Nov 23 15:33:24 GMT 2024","14998","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Nov 23 15:30:48 GMT 2024","Sat Nov 23 15:31:41 GMT 2024","53425","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
