"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Nov 23 13:33:57 GMT 2024","Sat Nov 23 13:34:51 GMT 2024","53719","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create Build Configuration for created project",""
"passed","Sat Nov 23 13:35:03 GMT 2024","Sat Nov 23 13:35:16 GMT 2024","13404","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Nov 23 13:34:52 GMT 2024","Sat Nov 23 13:35:03 GMT 2024","10894","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfigurationWithoutName","User should not be able to create build configuration without name",""
"passed","Sat Nov 23 13:35:16 GMT 2024","Sat Nov 23 13:35:16 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Nov 23 13:32:53 GMT 2024","Sat Nov 23 13:33:43 GMT 2024","50170","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
