"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 12:18:29 GMT 2024","Sat Nov 23 12:18:40 GMT 2024","10725","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfigurationWithoutName","User should not be able to create build configuration without name",""
"passed","Sat Nov 23 12:16:32 GMT 2024","Sat Nov 23 12:17:22 GMT 2024","50110","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Nov 23 12:18:54 GMT 2024","Sat Nov 23 12:18:54 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Nov 23 12:18:40 GMT 2024","Sat Nov 23 12:18:54 GMT 2024","13429","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"failed","Sat Nov 23 12:17:35 GMT 2024","Sat Nov 23 12:18:29 GMT 2024","53483","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create Build Configuration for created project",""
