"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 06:23:06 GMT 2024","Wed Nov 27 06:24:07 GMT 2024","60416","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create Build Configuration for created project",""
"passed","Wed Nov 27 06:21:59 GMT 2024","Wed Nov 27 06:22:53 GMT 2024","53935","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Nov 27 06:24:18 GMT 2024","Wed Nov 27 06:24:31 GMT 2024","12716","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Nov 27 06:24:07 GMT 2024","Wed Nov 27 06:24:18 GMT 2024","10853","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfigurationWithoutName","User should not be able to create build configuration without name",""
"passed","Wed Nov 27 06:24:31 GMT 2024","Wed Nov 27 06:24:31 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
